"id_producto","nombre","marca","categoria","img","kcal","grasas","grasas_saturadas","proteinas","hidratos_carbono","azucares","sal","visitas"
"11800","Preparado de fresa y plátano con yogur natural desde 12 meses Fruta&Go Nutriben bolsita de 90 gr","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/11800.webp","64.00","1.00","0.00","1.20","12.00","10.00","0.04","0"
"11831","Preparado de futas variadas desde 12 meses sin azúcar añadido Fruta&Go Nutribén sin gluten bolsita de 90 g.","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/11831.webp","70.00","0.50","0.00","0.50","15.00","11.00","0.00","0"
"12790","Tarrito de verduritas con lenguado desde 6 meses Nutribén 235 g.","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/12790.webp","77.00","2.50","0.00","2.60","10.60","0.70","0.00","0"
"13372","Gusanitos ecológico Smileat sin gluten 38 gr","Smileat","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/13372.webp","420.00","6.00","0.00","5.10","79.00","1.00","0.04","0"
"13480","Bañador pañal desechable Huggies Little Swimmers T4 (7 kg-15 kg) 20 ud.","Huggies","panales","https://dx7csy7aghu7b.cloudfront.net/prods/13480.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"13554","Toallitas de Bebé con Tapa Aqua Pure Dodot 3x48 uds","Dodot Aqua Pure","toallitas","https://dx7csy7aghu7b.cloudfront.net/prods/13554.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"13884","Yogolino sin azúcar natural NESTLÉ, pack 4x100 g","Nestlé","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/13884.webp","71.00","2.80","0.00","3.20","8.00","3.30","0.09","1"
"13955","Toallitas infantiles limpiadoras suaves KLORANE, paquete 25 uds.","Klorane","leche-para-bebes","https://finditapp.es/no-image.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"15043","Puré de frutas y galleta Hero bolsa 100 g","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/15043.webp","72.00","0.00","0.00","1.00","15.00","10.00","0.00","0"
"15377","Tarrito de ternera con patatas y zanahorias desde los 6 meses Nutribén Potitos 235 g.","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/15377.webp","86.00","2.90","0.00","3.90","10.70","0.80","0.08","0"
"19433","Gasas para bebé no tejidas Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/19433.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"19489","Papilla lentejas con verduritas Hero baby recetas caseras +8 meses","Hero Baby","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/19489.webp","70.00","2.50","0.00","3.40","7.80","1.50","0.07","0"
"19539","Cepillo limpiabiberón y tetina Deliplus","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/19539.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"19640","Pomada del pañal sin perfume Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/19640.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"19728","Papilla verduritas con pollo Hero baby buenas noches +6 meses","Hero Baby","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/19728.webp","255.00","2.30","0.00","2.60","7.00","1.60","0.07","0"
"19786","Gel corporal infantil Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/19786.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"19878","Preparado lácteo con cereales crecimiento Peques 3 Puleva","Peques 3","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/19878.webp","78.00","3.50","0.00","2.40","9.30","4.00","0.11","0"
"19937","Toallitas bebé frescas & perfumadas Deliplus","Deliplus","toallitas","https://dx7csy7aghu7b.cloudfront.net/prods/19937.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20057","Preparado lácteo crecimiento +1 año Hacendado","Hacendado","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/20057.webp","65.00","2.90","0.00","2.20","7.50","4.70","0.13","0"
"20281","Esponja anatómica para bebés Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/20281.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
